epoch,train_loss,val_loss,mean_iou,pixel_accuracy,hazard_recall,false_safe_rate,catastrophic_false_safe_rate,learning_rate
1,1.035933683794665,0.8454987418417838,0.2429145405224767,0.7949977663860995,0.8567462512358468,0.21313975640336655,0.06258300467872371,0.0001
2,0.8514632902231561,0.7831857216124442,0.2758087759346686,0.8288521930026532,0.8986543501922736,0.14817055413280333,0.04273934088632704,9.890738003669029e-05
3,0.8063126572643418,0.7868402939216763,0.2901907087127926,0.8248169675671596,0.9276809128441924,0.11819649161541025,0.03928686818811984,9.567727288213005e-05
4,0.7731226622818943,0.7768248880610746,0.29320395177976843,0.8315168792615811,0.9283443267212883,0.1219734888489148,0.046065163104063785,9.045084971874738e-05
5,0.7512487042620479,0.7634961850502912,0.3081027224792274,0.8375041519178352,0.9492563210344878,0.09248404224731162,0.027675300869948388,8.345653031794292e-05
6,0.7295453969733303,0.7560619641752804,0.30309204424292646,0.8393990177960701,0.9220957513659845,0.13135869591575294,0.04115530919322212,7.500000000000001e-05
7,0.7065381673445185,0.7466919924698624,0.31425545773926883,0.8477101901886962,0.9244549283410934,0.11530110551273699,0.04071787543126174,6.545084971874738e-05
8,0.6915684202349329,0.7451166370335747,0.31122959448200993,0.8470086924471009,0.9242598718206607,0.12343844507205151,0.0431785529281919,5.522642316338269e-05
9,0.6787784100775738,0.7364042892175562,0.32722216156681905,0.8535026404591056,0.92873940508916,0.10757240081874778,0.03670619143945292,4.4773576836617344e-05
10,0.6646356196049227,0.7381366806871751,0.32965628470633546,0.8540726502343251,0.938973498317678,0.10513636520049413,0.038797725741663965,3.454915028125264e-05
11,0.6561387272244955,0.7359414264267566,0.3332486247316114,0.8569166399735856,0.937905144702331,0.10419745650546752,0.036373168111884756,2.5000000000000018e-05
12,0.6467333317521107,0.7345377113304886,0.33381799729137945,0.8563092984002395,0.9296424248624777,0.1160124636636215,0.036728962660048076,1.654346968205711e-05
13,0.6417824394971012,0.7314736071754905,0.3400895840478736,0.8581516705472385,0.9321113240171481,0.1103683649085791,0.03732013680284211,9.549150281252635e-06
14,0.6375154281955168,0.7303958605317509,0.3328308205517699,0.8595291331096169,0.9329006031602113,0.10805844859627896,0.03528042665784763,4.322727117869952e-06
15,0.6350811226779677,0.7312467951400607,0.33964718736494315,0.8578055012566086,0.9311687894786799,0.11187156569693445,0.03587605804767499,1.092619963309716e-06
